state,x,y
Andhra Pradesh,-90,-152
Arunachal Pradesh,196,92
Assam,143,53
Bihar,30,37
Chhattisgarh,-24,-29
Goa,-160,-154
Gujarat,-223,-1
Haryana,-121,112
Himachal Pradesh,-110,173
Jammu And Kashmir,-138,234
Jharkhand,31,7
Karnataka,-129,-192
Kerala,-129,-248
Madhya Pradesh,-122,-15
Maharashtra,-151,-63
Manipur,196,25
Meghalaya,137,34
Mizoram,179,-9
Nagaland,211,53
Odisha,13,-56
Punjab,-140,139
Rajasthan,-192,58
Sikkim,93,78
Tamil Nadu,-92,-230
Telangana,-82,-108
Tripura,142,6
Uttarakhand,-76,140
Uttar Pradesh,-43,57
West Bengal,83,-17
